mes_ref,usd,ipca_acumu,ipca_mensal,selic_acumu,selic_mensal,valor_fed
11/01/22,5.2941,5.73,0.59,13.75,1.1450,4.25
12/01/22,6.2,5.8,0.81,13.75,1.1450,5.25
01/01/23,6.8,6.08,0.65,13.75,1.1450,5.25
02/01/23,7.3,5.99,0.8,15,1.25,6
03/01/23,7.25,5.1,0.69,16,1.33333333333333,6.5
04/01/23,7.18,4.42,0.38,16,1.33333333333333,6.5
05/01/23,7.12,4.36,0.41,16,1.33333333333333,6.5
06/01/23,7.1,4.05,0.36,16,1.33333333333333,6.5
07/01/23,7,5.18,0.45,16,1.33333333333333,6.5
08/01/23,6.95,5.94,0.4,15.5,1.2910,6.5
09/01/23,6.82,6.56,0.33,15,1.25,6.5
10/01/23,6.45,6.62,0.35,15,1.25,6.5
